50,100,200,500
5,63,44,205
11,0,4,144
15,70,47,240
11,14,5,298
20,3,68,430
11,22,52,175
24,74,36,318
24,74,13,18
15,70,47,240
20,34,131,39
24,74,36,429
24,74,13,215
15,5,18,91
33,7,182,408
33,7,86,238
0,31,31,437
6,4,22,105
15,5,18,4
38,38,3,407
15,5,80,356
44,1,6,5
0,31,31,158
15,5,18,4
33,7,134,60
44,1,82,22
15,5,18,4
20,3,85,185
20,34,131,51
11,14,5,282
20,3,12,219
20,34,88,16
0,21,57,295
20,3,12,74
15,5,18,119
9,49,84,266
6,4,33,162
24,23,56,85
6,4,98,190
6,4,25,21
15,5,18,4
20,34,131,214
9,35,37,113
24,74,13,215
11,14,26,296
20,3,68,49
20,3,85,126
32,27,79,366
9,49,1,264
24,74,13,56
15,5,80,356
15,5,80,196
24,74,36,429
20,3,68,90
24,74,13,139
24,23,196,52
24,74,36,470
9,35,8,213
24,74,13,139
24,23,56,20
48,48,38,72
30,30,73,384
30,30,99,194
21,15,108,336
30,30,73,64
30,30,73,64
30,30,99,194
21,15,108,336
30,30,73,64
12,24,115,199
20,34,131,33
12,24,130,137
30,30,99,128
30,30,73,384
30,30,99,128
12,24,130,137
30,30,99,128
12,24,130,137
12,24,130,137
21,15,144,71
11,0,96,239
12,24,115,199
15,70,47,40
30,30,99,194
41,68,137,233
14,33,63,177
12,24,130,192
11,14,5,298
12,24,115,199
12,24,130,137
21,88,43,230
25,2,104,419
21,15,144,71
35,8,143,287
21,15,158,317
30,30,99,128
21,15,158,317
30,30,99,128
35,8,143,287
30,30,99,128
30,30,99,128
30,30,99,128
21,15,158,317
30,30,99,128
35,8,143,287
35,8,143,287
12,24,130,137
44,1,11,209
30,30,99,128
12,24,130,192
20,34,88,16
12,24,193,493
20,34,177,422
21,15,144,71
30,30,73,64
21,15,144,71
21,15,144,71
30,30,99,128
21,15,144,71
30,30,99,128
21,15,144,71
12,24,115,199
20,3,192,11
44,1,82,22
15,70,19,242
12,26,72,246
20,3,68,31
11,14,5,98
12,24,130,137
12,24,130,192
12,24,130,137
5,37,7,364
44,1,82,22
21,15,158,317
30,30,99,128
21,15,144,71
30,30,99,128
21,15,144,71
30,30,99,128
41,68,137,233
12,24,115,313
12,24,115,199
20,34,131,51
10,60,121,487
48,48,38,395
5,39,39,341
